Video,Ranked Algorithms
DVD.mp4,"[('MIL', 0.9488759793694919), ('CSRT', 0.9425081877301755), ('KCF', 0.31447951894206666)]"
plane2.MP4,"[('KCF', 0.5339687029675143), ('MIL', 0.5274196991571531), ('CSRT', 0.4261489550631486)]"
race-trimmed.mp4,"[('CSRT', 0.4889229232503419), ('KCF', 0.17058465279186363), ('MIL', 0.16025106401694542)]"
snowboard.mp4,"[('CSRT', 0.39905563801613336), ('MIL', 0.15996295455868467), ('KCF', 0.02675534183746855)]"
workout.mp4,"[('KCF', 0.6040080586884223), ('MIL', 0.5506204127445804), ('CSRT', 0.48035875227045227)]"
